ano;regiao;codRegiao;UF;codUF;municipio;codMunicipio;entidade;codEntidade;matriculas_base
2023;Norte;1;RO;11;Porto Velho;1100205;EMEF PADRE CHIQUINHO;11001828;441.0
2023;Norte;1;RO;11;Porto Velho;1100205;EEEF PE MARIO CASTAGNA;11001844;594.0
2023;Norte;1;RO;11;Porto Velho;1100205;EEEFM PRES TANCREDO DE ALMEIDA NEVES;11001887;749.0
2023;Norte;1;RO;11;Porto Velho;1100205;EMEF PRESIDENTE MEDICI;11001895;
2023;Norte;1;RO;11;Porto Velho;1100205;EEEF PRINCESA IZABEL;11001909;148.0
2023;Norte;1;RO;11;Porto Velho;1100205;EMEF PROF ANTONIO DOS SANTOS;11001917;
2023;Norte;1;RO;11;Porto Velho;1100205;EMEF PROFª MARIA DO CARMO RIBEIRO;11001950;
2023;Norte;1;RO;11;Porto Velho;1100205;EMEIEF MARIA IZAURA DA COSTA CRUZ;11001968;307.0
2023;Norte;1;RO;11;Porto Velho;1100205;EEEF PROF ROBERTO DUARTE PIRES;11001992;780.0
2023;Norte;1;RO;11;Porto Velho;1100205;EEEF PROF ELOISA BENTES RAMOS;11002000;198.0
2023;Norte;1;RO;11;Porto Velho;1100205;EEEFM PROF FLORA CALHEIROS COTRIN;11002018;2798.0
2023;Norte;1;RO;11;Porto Velho;1100205;EMEF PROF ALZIRA FALCAO;11002026;
2023;Norte;1;RO;11;Porto Velho;1100205;EMEIF PROF MARIA ANGELICA QUEIROZ DE OLIVEIRA;11002042;84.0
2023;Norte;1;RO;11;Porto Velho;1100205;E M E F RIO GUAPORE;11002085;334.0
2023;Norte;1;RO;11;Porto Velho;1100205;EMEIEF RIO MADEIRA;11002093;490.0
2023;Norte;1;RO;11;Porto Velho;1100205;EEEFM RISOLETA NEVES;11002123;1868.0
2023;Norte;1;RO;11;Porto Velho;1100205;EMEF SAO FRANCISCO DE ASSIS;11002158;116.0
2023;Norte;1;RO;11;Porto Velho;1100205;EMEF SANTO ANTONIO I;11002182;36.0
2023;Norte;1;RO;11;Porto Velho;1100205;EMEF SAO CARLOS;11002204;3.0
